Treat,Cut,Si,year
CHK,0C,34.17452632,2018
T,0C,37.28457416,2018
Si,0C,55.70562679,2018
TSi,0C,57.4123,2018
CHK,1C,34.41376077,2018
T,1C,35.60993301,2018
Si,1C,57.61950239,2018
TSi,1C,58.81567464,2018
CHK,2C,28.3132823,2018
T,2C,30.82524402,2018
Si,2C,44.94007656,2018
TSi,2C,38.71998086,2018
CHK,0C,32.97835407,2018
T,0C,36.32763636,2018
Si,0C,54.03098565,2018
TSi,0C,58.9321,2018
CHK,1C,33.21758852,2018
T,1C,34.65299522,2018
Si,1C,58.33720574,2018
TSi,1C,58.33720574,2018
CHK,2C,29.83132823,2018
T,2C,31.78218182,2018
Si,2C,44.22237321,2018
TSi,2C,39.43768421,2018
CHK,0C,33.93529187,2018
T,0C,35.84916746,2018
Si,0C,54.50945455,2018
TSi,0C,59.5452,2018
CHK,1C,33.36112919,2018
T,1C,34.89222967,2018
Si,1C,57.38026794,2018
TSi,1C,58.33720574,2018
CHK,2C,29.88348134,2018
T,2C,31.30371292,2018
Si,2C,43.74390431,2018
TSi,2C,39.43768421,2018
CHK,0C,22.69127273,2019
T,0C,28.67213397,2019
Si,0C,33.93529187,2019
TSi,0C,38.24151196,2019
CHK,1C,20.53816268,2019
T,1C,24.60514833,2019
Si,1C,34.41376077,2019
TSi,1C,33.69605742,2019
CHK,2C,23.88744498,2019
T,2C,26.75825837,2019
Si,2C,29.62907177,2019
TSi,2C,30.34677512,2019
CHK,0C,23.88744498,2019
T,0C,26.27978947,2019
Si,0C,33.21758852,2019
TSi,0C,39.19844976,2019
CHK,1C,19.58122488,2019
T,1C,25.56208612,2019
Si,1C,33.21758852,2019
TSi,1C,32.54294737,2019
CHK,2C,23.64821053,2019
T,2C,27.71519617,2019
Si,2C,30.10754067,2019
TSi,2C,29.15060287,2019
CHK,0C,23.64821053,2019
T,0C,23.88744498,2019
Si,0C,31.78218182,2019
TSi,0C,38.71998086,2019
CHK,1C,20.05969378,2019
T,1C,24.60514833,2019
Si,1C,33.21758852,2019
TSi,1C,34.13146411,2019
CHK,2C,23.40897608,2019
T,2C,26.99749282,2019
Si,2C,30.34677512,2019
TSi,2C,29.15060287,2019